individual_id,age,sex,dominant_genetic_ancestry,self_reported_ethnicity_1,self_reported_ethnicity_2,is_multiselect,self_report_concordant_with_genetics,true_ancestry_frac_African,true_ancestry_frac_European,true_ancestry_frac_East_Asian,true_ancestry_frac_South_Asian,true_ancestry_frac_American_Indigenous,phenotype
IND000034,65.0,M,African,Other/Unknown,,False,False,0.37332720338686765,0.32503261416446855,0.09028898309980365,0.20938495451483002,0.001966244834030082,-0.07449168564377734
IND000035,51.5,M,East Asian,East Asian,American/Indigenous,True,True,0.005840883342664375,0.02481922354954782,0.4485053574342586,0.14139374427092183,0.37944079140260734,1.5025207651776744
IND000036,43.8,M,South Asian,South Asian,,False,True,0.014227284743480327,0.008722096487251894,1.9824002096757295e-06,0.5133086349430027,0.4637400014260553,0.21454630585761975
IND000037,48.8,M,American/Indigenous,American/Indigenous,East Asian,True,True,0.10949927905177975,0.08622436057647787,0.30619608600064335,0.0015489427315013833,0.4965313316395977,0.24063118809476275
IND000038,29.3,F,American/Indigenous,South Asian,,False,False,0.03375110995618145,0.13785272323350084,0.0030275427419382953,0.19047199577834037,0.6348966282900391,2.2461844155312107
IND000039,38.8,M,European,European,South Asian,True,True,0.025454475061251848,0.3212657232667485,0.15882325648790666,0.3090194463959379,0.1854370987881551,0.12710404499522782
IND000040,33.2,F,South Asian,South Asian,,False,True,0.21455627806840447,0.00034801789808424407,0.0004326267696720978,0.669441933984038,0.11522114327980121,0.26224624473093516
IND000041,54.5,M,South Asian,South Asian,,False,True,0.018497494722577376,2.9331697808903823e-07,0.14417191738015636,0.837112419753302,0.00021787482698629147,1.4240570813232445
IND000042,18.0,M,European,European,African,True,True,0.29912075888591605,0.4538726696881325,0.007280699222557736,0.02653742315469255,0.21318844904870116,0.4186904971485646
IND000043,38.0,M,South Asian,South Asian,,False,True,0.0001315590950226186,0.0005366360136769539,0.05917149511870813,0.9197884948978676,0.02037181487472468,-1.15964414507434
IND000044,59.6,F,American/Indigenous,American/Indigenous,,False,True,0.031221075418752825,2.368024998036727e-05,4.198406257857748e-06,0.17699908045709517,0.7917519654679138,0.4052396173219548
IND000045,27.0,M,African,African,East Asian,True,True,0.4553119390548957,0.0843581224001056,0.2545015515252606,0.15074838456445408,0.05508000245528412,-1.2988555620115831
IND000046,67.6,F,East Asian,East Asian,South Asian,True,True,0.004476898879425745,0.0174287526827338,0.5478102584691265,0.4302776807292512,6.409239462803651e-06,-0.45175316829626644
IND000047,62.5,F,South Asian,South Asian,,False,True,0.02244368120862489,0.11668656468284486,0.0923599749330442,0.7617489932989593,0.006760785876526799,-2.1611032887935857
IND000048,64.4,F,East Asian,East Asian,,False,True,0.0009847399788312007,0.02140246468165039,0.758862232162983,0.03461018647707154,0.18414037669946384,-1.0561383104178785
IND000049,78.8,M,American/Indigenous,American/Indigenous,South Asian,True,True,0.1614900354240115,7.813822695279315e-05,0.13265526139503386,0.25701866102176657,0.4487579039322353,-0.36883271995084277
IND000050,76.1,F,American/Indigenous,American/Indigenous,,False,True,0.26496523366454366,0.08142481973158688,0.09008357675030965,0.002507016908298159,0.5610193529452616,-1.1794262149345844
IND000051,62.5,M,European,European,,False,True,0.002168953295106692,0.3934166035763176,0.39083351033708186,0.21340992391107133,0.00017100888042261857,0.37131923016557233
IND000052,32.8,F,South Asian,South Asian,,False,True,0.25107370725162875,0.09116467495005255,0.05048972849193501,0.5267420071043003,0.08052988220208335,-2.6676221776250397
IND000053,38.5,F,South Asian,South Asian,European,True,True,0.18933329674796054,0.2628901949082983,0.10221523728625678,0.440569711568868,0.0049915594886163015,0.2261600388477582
IND000054,41.8,F,East Asian,East Asian,,False,True,0.08262792691985024,0.04803842206497984,0.7145148751086813,0.1141929716266754,0.04062580427981313,-1.7282867120370697
IND000055,57.8,F,American/Indigenous,American/Indigenous,,False,True,0.00926675310705974,0.005694551646459059,0.006591297535865512,0.1846306786353747,0.793816719075241,1.9771057849625602
IND000056,72.6,F,African,African,,False,True,0.7623316084732591,0.0011064710299289078,0.19427310317793645,7.645444169043862e-05,0.04221236287718517,-0.41824273927455013
IND000057,75.9,M,European,European,South Asian,True,True,0.05595379339850535,0.648878694085294,0.01987076667798032,0.27354212204781786,0.0017546237904026555,0.6670614331207305
IND000058,26.8,M,American/Indigenous,Other/Unknown,,False,False,0.0733069736395342,0.011071337652405427,0.014244112622693792,0.31146378707850936,0.5899137890068573,-0.5066569001879386
IND000059,18.0,F,African,African,East Asian,True,True,0.6078067489875613,0.00013106538396705713,0.3309362673348822,0.007300074144825991,0.05382584414876361,-0.45486401999474646
IND000060,63.6,M,European,European,South Asian,True,True,0.00048407968708237857,0.630162045235404,0.0008363513970438421,0.31809579340270566,0.050421730277764115,-0.8799609602045576
IND000061,47.3,M,African,African,East Asian,True,True,0.4638805117763248,0.042237146815201375,0.3264649111069273,0.13460886750577633,0.03280856279577013,0.949795833373628
IND000062,76.2,F,American/Indigenous,American/Indigenous,East Asian,True,True,0.0002951309995950005,0.25020352696614007,0.36568404005844535,0.00025553589673075447,0.3835617660790889,0.08417366323336233
IND000063,45.1,F,African,African,East Asian,True,True,0.4321110997512402,0.12865397820122337,0.27386458495789895,0.12456076253176528,0.04080957455787235,-1.0003295314587952
IND000064,76.1,M,African,African,,False,True,0.8161987319733266,0.15245587528954332,8.346854971706827e-05,0.01321684320485457,0.01804508098255857,-0.7051264045659238
IND000065,48.4,F,European,European,,False,True,0.02402007946428946,0.6043424927652443,0.2090028228113829,0.1626142311799715,2.0373779111917617e-05,-0.7582297168482434
IND000066,75.0,M,South Asian,South Asian,European,True,True,0.007345510986427278,0.28830354483713133,0.03632426159124693,0.6118428106563331,0.056183871928861345,-0.6956436336571954
IND000067,26.5,F,African,African,American/Indigenous,True,True,0.35392668493061946,0.07553838558554786,0.22346640421837147,0.0781281055158013,0.26894041974966,-0.021330807052344136
IND000068,58.9,F,East Asian,East Asian,European,True,True,0.0082051779639984,0.36108717700052295,0.425676678671239,0.001175502867490221,0.20385546349674943,-0.8127584132571302
IND000069,52.0,F,American/Indigenous,South Asian,East Asian,True,False,0.13868626058173802,0.0015103500712276901,0.3789498600159235,0.0939297121058142,0.38692381722529645,0.36771216153801545
IND000070,85.0,M,South Asian,South Asian,,False,True,0.014462663089274644,0.10532030772512725,7.192207957567888e-05,0.8777467741488032,0.002398332957219147,1.219874583173214
IND000071,59.6,F,European,European,,False,True,0.00048047240972650746,0.6683721718583242,0.1693166227585593,0.15015146383916939,0.011679269134220635,0.6011605513011915
IND000072,65.2,M,South Asian,South Asian,European,True,True,0.08772137264095543,0.3197178967490562,0.2118361019294019,0.35498264058491663,0.025741988095669716,-0.1603570327364196
IND000073,73.9,F,South Asian,South Asian,,False,True,0.05563595187796243,0.014615852767342787,0.05440466533759412,0.8680178447698096,0.007325685247291106,0.0007868153918761389
IND000074,40.5,M,African,African,,False,True,0.714291048542445,0.17477847294105245,0.07840206357066544,0.013410042887849447,0.01911837205798752,-0.35490639123133405
IND000075,25.6,M,South Asian,South Asian,,False,True,4.5432258709069885e-06,0.1345373437168533,0.02858872527731229,0.5505526621344488,0.2863167256455146,0.5616399943033211
IND000076,51.7,F,European,European,American/Indigenous,True,True,0.022510446223587027,0.45371086226753726,0.12635099678152195,0.11575440546863974,0.28167328925871404,1.0261361483241016
IND000077,26.5,F,East Asian,East Asian,South Asian,True,True,0.00534886762432635,1.1893824211966028e-05,0.5404902513091472,0.4541343089314333,1.4678310881095788e-05,0.2181252220816294
IND000078,47.0,M,European,European,,False,True,0.019048870483499254,0.5086778090453494,0.021642693660144555,0.00019569472389308374,0.4504349320871135,-0.44022839173347394
IND000079,57.6,M,American/Indigenous,American/Indigenous,,False,True,0.005000644842842668,2.1955704996932376e-05,0.09751579103735405,0.091019629200976,0.8064419792138303,-0.4210243787373194
IND000080,75.7,M,European,European,East Asian,True,True,0.0014916573657386052,0.6414306600510481,0.27203552448522517,0.08438452661801508,0.0006576314799729279,-0.02163377075848716
IND000081,46.2,M,European,European,East Asian,True,True,0.0036789430422501505,0.5397075909235286,0.4375621555220326,0.01851574422077706,0.0005355662914115431,0.19159797624730646
IND000082,41.5,M,European,European,,False,True,0.0005222213531962328,0.7146505006917555,0.001970851460581861,0.19611735374406228,0.08673907275040411,0.4887861117075303
IND000083,67.4,M,South Asian,South Asian,East Asian,True,True,0.09458318164650363,3.925181697027267e-05,0.29335761290382656,0.6095867669733828,0.0024331866593167903,0.5349290576820234
IND000084,47.4,M,East Asian,East Asian,,False,True,0.20195496939144086,0.07722995188421665,0.48221101225193447,0.23859807636922492,5.990103183130612e-06,-0.006371685989271958
IND000085,21.2,F,American/Indigenous,American/Indigenous,,False,True,0.23963787785721044,0.01309572102890385,0.08098152126150428,7.068810295747981e-07,0.6662841729713519,-0.9078877759589972
IND000086,22.6,M,South Asian,South Asian,American/Indigenous,True,True,2.2005892021166588e-05,0.06642687028900109,0.06392854171598396,0.4584605058837263,0.41116207621926737,-1.3852097236913234
IND000087,56.3,M,East Asian,American/Indigenous,African,True,False,0.39742827493566435,0.0013820024839809853,0.4595417772384898,0.00027569243877128527,0.14137225290309346,-0.07167453509939159
IND000088,78.6,F,South Asian,South Asian,,False,True,0.4258779632812466,0.03299731286043386,0.021054212376112366,0.519130330451441,0.0009401810307660894,0.2975266606650304
IND000089,35.4,F,East Asian,African,,False,False,0.39848419065446644,0.03029037477362334,0.4997115728294844,0.004419843240148069,0.06709401850227767,0.415897376836564
IND000090,31.3,M,European,European,South Asian,True,True,0.0019971545466171406,0.6186840174621213,0.057880227491564254,0.2532413847011124,0.0681972157985848,-0.9804265129632674
IND000091,32.8,M,South Asian,South Asian,,False,True,0.007697999797034045,4.3456447627913355e-08,0.002942881348195101,0.8506235564420939,0.13873551895622951,-0.2696345888201739
IND000092,82.4,F,European,European,,False,True,0.037595878543841964,0.6554468701465113,0.1961689465328304,0.10660081103617823,0.004187493740638162,-0.7806189692712248
IND000093,67.6,M,European,European,,False,True,0.04562170252566211,0.5831544725278137,0.016691611518773727,0.0960785061634718,0.2584537072642787,-0.5316432914885025
IND000094,20.9,F,East Asian,East Asian,European,True,True,0.1442469792385735,0.2691417917381699,0.5614670904940742,0.01395535840028856,0.01118878012889378,0.7626183756935856
IND000095,58.8,F,East Asian,East Asian,,False,True,0.004813164574149393,0.002017484070044059,0.6262746715721886,0.13735069044181952,0.22954398934179832,-0.03716328966654514
IND000096,72.4,M,European,European,,False,True,0.1397241701783257,0.7536616259538959,0.00038311141334191305,0.0002494246651458351,0.10598166778929077,1.162288027995877
IND000097,64.7,F,European,European,American/Indigenous,True,True,0.19474700260422256,0.4716990879202725,0.043547080584487585,6.273668449782976e-06,0.2900005552225675,0.1363844457691757
IND000098,18.0,F,African,East Asian,,False,False,0.49029940036051173,0.0431570341694485,0.3000218827428055,0.010339566032383406,0.15618211669485083,0.8844621856214288
IND000099,64.6,F,American/Indigenous,American/Indigenous,,False,True,4.498068906161561e-05,0.24144263826934304,0.09931044593590599,0.00013195917336915043,0.6590699759323201,-0.7206046234263727
IND000100,23.0,M,African,African,East Asian,True,True,0.4355606360862554,0.0037589282439312007,0.3046638588793249,0.0010396635659947534,0.2549769132244939,0.03366102616162803
IND000101,76.9,F,South Asian,South Asian,African,True,True,0.28626489047014214,0.27405732562242235,0.0017540101484233078,0.4379145107900137,9.26296899839811e-06,-0.31333475445603354
IND000102,59.4,F,European,European,,False,True,0.0002293318996722651,0.6016614215867548,0.0019587687476590528,0.3709582986755681,0.02519217909034572,0.5001080507429392
IND000103,60.0,F,American/Indigenous,European,,False,False,0.08064062385199014,0.19883119951426545,0.0001158281622926118,0.0001296533353773066,0.7202826951360743,-0.17988174825409398
IND000104,71.2,F,South Asian,South Asian,,False,True,0.21681644308251347,0.12222356396490631,0.0002446182785614979,0.6045153466554436,0.05620002801857516,0.4530362823962689
IND000105,70.9,M,European,European,,False,True,0.0014491311996005065,0.928985601290336,0.06822152579037997,0.0009403537941841693,0.00040338792549925173,0.9446341304261665
IND000106,34.7,M,South Asian,South Asian,,False,True,0.07561114156957645,0.15608028251720873,0.0008576928633608783,0.7674259260107458,2.495703910809358e-05,-0.3435138529261409
IND000107,40.1,F,European,East Asian,,False,False,0.011673325991273317,0.4956246297633206,0.3638925220588503,0.10209097382210924,0.026718548364446645,1.8372829041877545
IND000108,61.9,M,South Asian,South Asian,European,True,True,0.002294677910047114,0.396308543031335,0.003259030763342165,0.4969484910555275,0.10118925723974813,-1.480077542439537
IND000109,85.0,F,American/Indigenous,American/Indigenous,,False,True,0.029355133196377788,0.0533201486371559,0.007671152865074521,0.32855477736240946,0.5810987879389823,0.10515276276599128
IND000110,41.5,F,European,European,,False,True,0.016624520292292316,0.7798243996589055,0.05573506409442347,0.01285743181772031,0.13495858413665843,0.6213872126847538
IND000111,61.0,M,South Asian,South Asian,European,True,True,0.16656094764461266,0.3046813907030031,9.945112577713826e-05,0.3527379632769971,0.17592024724961,1.567017233835164
IND000112,58.4,M,South Asian,South Asian,East Asian,True,True,0.07779188045336383,4.496373392553327e-07,0.28914046301021507,0.6257766532875226,0.007290553611559183,0.010548281610932957
IND000113,38.4,F,American/Indigenous,American/Indigenous,South Asian,True,True,0.0024524260996382735,0.036290372546759535,0.06101407484923464,0.2601077800825748,0.6401353464217927,-0.8671026642043966
IND000114,35.1,M,African,African,,False,True,0.9495089617767475,0.005542771886079981,0.03111931314596835,0.013822411624866115,6.541566338018965e-06,-1.0160480584957998
IND000115,26.7,M,American/Indigenous,American/Indigenous,East Asian,True,True,5.830771753392418e-06,0.030392096886685947,0.4697986147747277,0.026718077079216664,0.4730853804876163,-0.0027488458754290623
IND000116,65.7,M,American/Indigenous,American/Indigenous,African,True,True,0.25488849245440404,0.0029439073101958633,0.007178687535114428,0.23188951609528083,0.5030993966050049,0.458394689521112
IND000117,84.4,M,East Asian,East Asian,,False,True,0.12630819540233318,0.04404033557645867,0.6460290855606542,0.006160796270340465,0.17746158719021346,0.7516139976331699
IND000118,77.1,M,South Asian,South Asian,European,True,True,3.635181002699557e-05,0.29044624921676726,0.02238556732052721,0.594606983081935,0.09252484857074347,1.3661305501499066
IND000119,33.6,F,South Asian,South Asian,American/Indigenous,True,True,0.00047640454683402445,0.16940343512973416,4.619251392240563e-05,0.5536046875573981,0.27646928025211137,0.4115692899230951
IND000120,80.6,M,American/Indigenous,American/Indigenous,,False,True,0.12175673378312946,0.2449629739391324,0.00014231986104437834,0.013773754108228044,0.6193642183084658,2.9972621081823227
IND000121,44.2,M,African,European,,False,False,0.8223112597472801,0.12200476500095386,0.01928809871398065,0.036278817653741385,0.00011705888404388251,1.2201288514551314
IND000122,81.0,M,South Asian,South Asian,European,True,True,0.0010364419466785588,0.4594336482712598,0.0058612032225540435,0.5127476599835645,0.020921046575943042,-0.26579269461543914
IND000123,18.2,F,East Asian,East Asian,,False,True,0.15802239228742276,0.03019063571656809,0.7428799466976507,0.06760606267080625,0.0013009626275523427,0.13277905296530812
IND000124,42.1,F,South Asian,South Asian,East Asian,True,True,0.07429648176781528,0.1483553701487442,0.2503750509950536,0.520956704183522,0.0060163929048649084,-0.15982601679084152
IND000125,18.0,M,European,European,,False,True,0.10277727626970834,0.730008640927901,0.0034495701566099987,0.16298274093987325,0.0007817717059073927,0.41281442880992464
IND000126,23.5,F,American/Indigenous,American/Indigenous,East Asian,True,True,0.005273618139863748,0.11118629396066279,0.28901061786296917,0.27380118573794,0.3207282842985644,0.43858538484454224
IND000127,49.3,F,European,European,,False,True,8.101675099419394e-05,0.5243252052037978,5.4659668850333266e-05,0.4568728231458728,0.01866629523048491,0.10797237325053172
IND000128,60.9,M,South Asian,South Asian,,False,True,0.005675038648519008,0.19492909658977214,0.017125477150992476,0.7818708445082851,0.00039954310243121225,-0.6318756743907746
IND000129,55.2,M,American/Indigenous,American/Indigenous,,False,True,0.20000530531623784,0.02264776008919349,0.14584183545669507,0.025671156139462567,0.605833942998411,0.8483473929809351
IND000130,56.3,F,European,European,,False,True,0.021778995054176586,0.7467214638278459,0.2250292673971644,8.183502784340857e-05,0.00638843869296979,0.8117965683726409
IND000131,55.7,M,African,Other/Unknown,,False,False,0.6000693980770243,1.577226812155085e-05,0.033857757857804885,0.00013644878093014627,0.36592062301611916,0.7413836650182544
IND000132,46.6,F,African,African,,False,True,0.8171836358662138,0.07061806280777816,0.09520173994057987,0.00645475090236035,0.010541810483067956,-0.3672277433404206
IND000133,19.3,M,African,African,,False,True,0.7602391779993216,0.23566277550243742,0.0003219995912887162,0.0024729299371262638,0.001303116969825945,0.19950659843781848
IND000134,66.7,F,South Asian,South Asian,,False,True,0.010934282623925382,0.2747877899525857,0.02053995900765026,0.6694279198812416,0.02431004853459712,-0.6235178654728138
IND000135,45.7,F,East Asian,South Asian,,False,False,0.003889388961397929,0.01604132291171944,0.5368774308901283,0.44167490372929363,0.0015169535074607682,-0.8880613639586432
IND000136,73.2,F,East Asian,East Asian,,False,True,5.0628677466911614e-05,0.11427897467719546,0.832441921784938,0.034583550579643296,0.01864492428075648,-1.533265206394953
IND000137,49.4,F,East Asian,East Asian,African,True,True,0.38701257208836326,0.026548038395899625,0.46597842977951326,0.00039071826628898253,0.12007024146993475,-0.5241654710091229
IND000138,75.0,M,European,American/Indigenous,,False,False,0.1410418611707441,0.4352570688536302,0.03770479571296544,0.16995937714876955,0.21603689711389065,0.026404862472091284
IND000139,40.7,M,African,African,,False,True,0.7465699649282154,0.09125167366132222,0.11907987267121468,0.04305806521784008,4.0423521407550615e-05,-1.085244340003681
IND000140,73.3,M,South Asian,South Asian,,False,True,0.009356737255691286,2.724278097643482e-05,0.06684803615823487,0.9237101064338887,5.7877371208697924e-05,-0.39362552701221065
IND000141,81.0,M,European,American/Indigenous,African,True,False,0.25092345348395256,0.6169184779839897,6.530503459564511e-05,1.0926714141383314e-08,0.1320927525707477,2.6625290320324155
IND000142,23.1,F,East Asian,East Asian,,False,True,9.344562077781233e-07,0.00034723243942290686,0.996743942949037,0.0006251763072827397,0.0022827138480494835,0.2476711614127104
IND000143,58.0,F,American/Indigenous,African,,False,False,0.3454129488999018,0.18739381251929907,0.017065568120200582,0.01396616269675574,0.43616150776384266,-0.15743716882914705
IND000144,41.2,M,East Asian,East Asian,,False,True,0.22901209966210007,0.02218903290786444,0.40062019389278897,0.023099921309055926,0.3250787522281906,-0.3238643140472527
IND000145,41.5,M,East Asian,East Asian,,False,True,0.029912265823764456,0.06900299692241169,0.8088972563112757,0.02204883151228828,0.07013864943025976,-0.162101241761491
IND000146,55.9,M,European,European,,False,True,0.06313579792770993,0.9027923905580157,0.00019340228099437825,0.0336625519895937,0.00021585724368622047,0.07544005838798962
IND000147,64.7,F,European,East Asian,,False,False,0.013428290758801637,0.48936635420121016,0.40840098586943957,0.07060898720190074,0.018195381968647985,1.2015920613139728
IND000148,72.8,M,South Asian,South Asian,East Asian,True,True,0.004186633112598021,0.08739505282731223,0.2925954106701745,0.6158228446845826,5.870533262518722e-08,1.2346760007452007
IND000149,44.9,M,European,European,,False,True,0.012874963673751641,0.7847734150635519,0.1873181535114439,0.010843495278378967,0.00418997247287369,2.1146673004596597
IND000150,68.7,M,European,European,South Asian,True,True,0.2511201610349213,0.36069668817531425,0.11371730720491924,0.2744648447218143,9.988630309860027e-07,0.6935345917572027
IND000151,49.5,M,African,African,East Asian,True,True,0.6767609216557431,0.07116077003465432,0.2510260135981627,5.889918579833968e-05,0.0009933955256415839,-0.9411599988213577
IND000152,72.3,F,East Asian,East Asian,,False,True,0.16513538745407974,0.020034125148177043,0.8142181887545233,0.00036755314062428127,0.0002447455025956503,-0.3400962147526954
IND000153,24.5,F,African,African,European,True,True,0.37525039168647556,0.3157281445753475,0.25229827631762863,0.055350695208995875,0.0013724922115526826,0.13480616462411044
IND000154,60.8,M,East Asian,East Asian,,False,True,0.0630847187111284,0.11150753835150627,0.7306234172564826,0.01916146123460787,0.07562286444627495,-1.4607656072236352
IND000155,84.9,M,South Asian,South Asian,,False,True,0.39289924297636136,0.04387989342033819,0.009699665327404454,0.5449197676619492,0.008601430613946857,1.0853599899417148
IND000156,68.1,M,African,European,,False,False,0.7615414858455741,0.19580293657706524,0.01528226111504774,0.027179294267586807,0.00019402219472593608,0.3881105681639354
IND000157,58.2,M,East Asian,East Asian,,False,True,0.19394458824967423,6.971527640397732e-07,0.659913904497541,0.14054876146315778,0.005592048636862913,-0.8773815105378352
IND000158,73.3,M,South Asian,South Asian,American/Indigenous,True,True,0.18998781680629442,0.003784184573962728,0.0004895554863482187,0.46849478452600823,0.3372436586073864,-0.9543449606217165
IND000159,80.7,M,European,South Asian,,False,False,0.028647223953735413,0.8836869380276632,2.1252946787116646e-05,0.07149685925125251,0.01614772582056174,0.4636742795349834
IND000160,41.5,F,South Asian,African,,False,False,0.04950516703599329,0.0017070462515556778,0.028763487230560197,0.9041076145307625,0.015916684951128184,-0.3678280698622324
IND000161,55.9,M,East Asian,East Asian,American/Indigenous,True,True,0.04895076478039813,1.7577445114613896e-06,0.5685521405212907,0.006283186919128578,0.3762121500346711,-0.87088001974527
IND000162,28.4,F,East Asian,African,European,True,False,0.239460710928181,0.2807216638696376,0.4451432828477698,0.034658908691474165,1.5433662937461687e-05,-1.657408051406267
IND000163,72.0,M,East Asian,East Asian,European,True,True,0.001963990505498331,0.27167471674653326,0.3675660323135445,0.2112572344398875,0.14753802599453614,-1.89409206926265
IND000164,26.7,M,South Asian,South Asian,,False,True,0.0549326361448478,0.0008529975604866835,0.45435306967712913,0.48894472889443863,0.0009165677230977495,-1.0369609585438258
IND000165,63.1,M,European,European,East Asian,True,True,0.13623726018621718,0.5478452208361401,0.27142933909492417,0.04448465618960445,3.523693114165802e-06,0.35191341826808564
IND000166,81.0,F,European,European,South Asian,True,True,0.0028693811979959506,0.40743493651811763,0.19968211540120173,0.38997911913373834,3.444774894649507e-05,1.1481958725389716
IND000167,71.5,F,African,African,,False,True,0.7078945144018334,0.21353504695815184,0.054750340162421834,0.0006379873252842064,0.023182111152308626,-0.8149139373226544
